作者,讚數,時間,連結,貼文內容
陳冰穎,22,1月24日,https://www.facebook.com/groups/traveler168/posts/1806310579884318,來推薦一間新開幕的足體養生會館「大都會足體養生會館」按完會讓您想大喊再來一次，每位專業師傅的手法都招招到位，由淺層再到深層，疏通您所有經絡，維持全身的氣血順暢，極致放鬆指壓按摩不管是經絡或是穴道加壓，緩解身體所有痠痛，都能夠為您解決…… 查看更多
跟著領隊玩,2,37分鐘,https://www.facebook.com/groups/traveler168/posts/1860301424485233,到台東池上看金城武樹騎伯朗大道，當然要住在田裡面啦！你有看到我的民宿嗎！就是被大地畫布水田包圍的那一間阿！#台東住宿 #池上住宿 #田裡面民宿全文閱讀：https://taiwantour.info/tianli-homestay
跟著領隊玩,3,1小時,https://www.facebook.com/groups/traveler168/posts/1860275867821122,東海岸最美的沙灘之一，在岸邊玩水看魚只是基本，其實你還可以浮潛、SUP和獨木舟，用不同的角度看海喔！全文閱讀：https://taiwantour.info/toyama-fishery/
啊賀！！現做捲餅舖 - 外星人小舖,1,6小時,https://www.facebook.com/groups/traveler168/posts/1860168851165157,啊賀！！現做捲餅舖的「加熱即食」冷凍捲餅上市囉！只要5~8分鐘 就能輕鬆解決您的早、午、晚餐及點心宵夜12種品項任您選擇，營養美味是家庭主婦、上班族、學生族群解決三餐 、點心、宵夜的新選擇。一份兩塊，料理方式簡單快速，隨時隨地您都能享受一份像剛出爐酥脆好吃的捲餅，滿足您不同的需求喔現在訂購即可享有9折優惠，雙北地區滿一千元以上還可免付運費喔！溫馨提示：@所有商品冷凍保存有限期限三個月。@本產品不含任何防腐劑，餐點取出調理使用後，請務必於當期餐期食用完畢。
陳怡如,1,5小時,https://www.facebook.com/groups/traveler168/posts/1860181317830577,熊寶貝多元化派車即日起邀請朋友加入官網即贈$20乘車金！不限次數 可累積！服務範圍：桃園、雙北、基隆東部中部南部皆可安排高速不加價夜間無加成24H線上客服為您服務一對一叫車 保障您的隱私歡迎預約、即時叫車機場接送、長途搭乘皆有優惠價貼心提醒尖峰時段務必提早預約叫車避免耽誤您寶貴時間歡迎叫車附上官網帳號@273bpjxd
康韶菲,1,1小時,https://www.facebook.com/groups/traveler168/posts/1860173851164657,HUGO也太活潑可愛了吧! 天啊不愧是大人小孩都喜歡的香菇
謝露西,1,1小時,https://www.facebook.com/groups/traveler168/posts/1860199334495442,"義大利初遊!!!!超級超級喜歡波隆那這個城市的>""""""""<"
林子恩,2,1小時,https://www.facebook.com/groups/traveler168/posts/1860266224488753,2024年最夯的必備景  牛奶海登場囉 5-9月宜蘭龜山島牛奶海遊艇團來啦 趕緊私訊小編卡位啦預定成功送頭城島主龍蝦海鮮火鍋9折券龜…… 查看更多
金永豐,0,3小時,https://www.facebook.com/groups/traveler168/posts/1860240621157980,東京愛玩樂~高雄出發親子同遊 大人小孩都開心頂級夢幻國度-東京迪工尼著名姻綠神社-冰川神社人氣必遊-台場東京灣X彩虹大橋買東西、…… 查看更多
江曼寧,0,3小時,https://www.facebook.com/groups/traveler168/posts/1860228917825817,
啊賀！！現做捲餅舖 - 外星人小舖,1,6小時,https://www.facebook.com/groups/traveler168/posts/1860168851165157,啊賀！！現做捲餅舖的「加熱即食」冷凍捲餅上市囉！只要5~8分鐘 就能輕鬆解決您的早、午、晚餐及點心宵夜12種品項任您選擇，營養美味是家庭主婦、上班族、學生族群解決三餐 、點心、宵夜的新選擇。一份兩塊，料理方式簡單快速，隨時隨地您都能享受一份像剛出爐酥脆好吃的捲餅，滿足您不同的需求喔現在訂購即可享有9折優惠，雙北地區滿一千元以上還可免付運費喔！溫馨提示：@所有商品冷凍保存有限期限三個月。@本產品不含任何防腐劑，餐點取出調理使用後，請務必於當期餐期食用完畢。
陳怡如,1,5小時,https://www.facebook.com/groups/traveler168/posts/1860181317830577,熊寶貝多元化派車即日起邀請朋友加入官網即贈$20乘車金！不限次數 可累積！服務範圍：桃園、雙北、基隆東部中部南部皆可安排高速不加價夜間無加成24H線上客服為您服務一對一叫車 保障您的隱私歡迎預約、即時叫車機場接送、長途搭乘皆有優惠價貼心提醒尖峰時段務必提早預約叫車避免耽誤您寶貴時間歡迎叫車附上官網帳號@273bpjxd
康韶菲,1,1小時,https://www.facebook.com/groups/traveler168/posts/1860173851164657,HUGO也太活潑可愛了吧! 天啊不愧是大人小孩都喜歡的香菇
謝露西,1,1小時,https://www.facebook.com/groups/traveler168/posts/1860199334495442,"義大利初遊!!!!超級超級喜歡波隆那這個城市的>""""""""<"
林子恩,2,1小時,https://www.facebook.com/groups/traveler168/posts/1860266224488753,2024年最夯的必備景  牛奶海登場囉 5-9月宜蘭龜山島牛奶海遊艇團來啦 趕緊私訊小編卡位啦預定成功送頭城島主龍蝦海鮮火鍋9折券龜…… 查看更多
金永豐,0,3小時,https://www.facebook.com/groups/traveler168/posts/1860240621157980,東京愛玩樂~高雄出發親子同遊 大人小孩都開心頂級夢幻國度-東京迪工尼著名姻綠神社-冰川神社人氣必遊-台場東京灣X彩虹大橋買東西、吃東西、買東西、吃東西：7/17（三）8/14（三）優惠價：31900/人 加入小編賴立即問LINE ID:  7272200門市地址：高雄市前鎮區永豐路20號 (彰化銀行對面)
江曼寧,0,3小時,https://www.facebook.com/groups/traveler168/posts/1860228917825817,
江曼寧,0,3小時,https://www.facebook.com/groups/traveler168/posts/1860222334493142,挑戰市場最高CP值巴爾幹全覽9國17天只要 85900  再送小費 (價值6800)【9國共10個世界文化遺產】1. 匈 牙 利- 布達佩斯舊城區2.羅馬尼亞- 吸血鬼德古拉城堡3.保加利亞- 粉色玫瑰卡贊勒克4. 科 索 沃 - 格拉恰尼察修道院5. 馬 其 頓 - 史高比耶首都6.阿爾巴尼亞-地拉那首都7.黑山共和國-科特峽灣世界遺產8.波士尼亞- 莫斯塔爾古橋9.克羅埃西亞-奧西耶克第四大城【包含五大景點入內門票】★普雷穆爾防禦性教堂★布朗城堡（吸血鬼德古拉）★鄉村露天博物館★博雅納教堂★格拉恰尼察修道院諮詢請洽 服務專員：雙向旅行社 曼曼 0970-978-427 https://bit.ly/各國旅遊優惠找曼曼------------------------- 更多旅遊行程 https://bit.ly/國內外旅遊資訊雙向國際旅行社 綜合旅行社 交觀綜字212400號│品保北644號
鄭玉潔,0,4小時,https://www.facebook.com/groups/traveler168/posts/1860214864493889,這暖湯服務給過嗎
